[LOG] 🚀 Démarrage de la traduction...
[LOG] ⏩ Fichier déjà traduit: Bad_Reputation_qxZemIQcqpf0L98h.json
[LOG] ⏩ Fichier déjà traduit: By_Popular_Demand_UuSpSrDTobcnDMMg.json
[LOG] ⏩ Fichier déjà traduit: Defining_Event_QE8EihaNEaYmgQhS.json
[LOG] ⏩ Fichier déjà traduit: Ear_to_the_Ground_CinU76J8CvUETnOf.json
[LOG] ⏩ Fichier déjà traduit: Entertainer_Routines_0mrVdT1RmNq9QYCH.json
[LOG] ⏩ Fichier déjà traduit: Guild_Business_E4a032RvwgmxTdmn.json
[LOG] ⏩ Fichier déjà traduit: Guild_Membership_Va5NGSNgOQYLKUTO.json
[LOG] ⏩ Fichier déjà traduit: Origin_SdVkZNSPZDvZjQde.json
[LOG] ⏩ Fichier déjà traduit: Position_of_Privilege_X18kMpGe2NzpcRVN.json
[LOG] ⏩ Fichier déjà traduit: Researcher_3oIoxT0WMwg2fdAz.json
[LOG] ⏩ Fichier déjà traduit: Retainers_FMq6LFPYhvwcbYBV.json
[LOG] ⏩ Fichier déjà traduit: Rustic_Hospitality_XuyDjCeKNEqPu8oz.json
[LOG] ⏩ Fichier déjà traduit: Shelter_the_Faithful_UjW059v2hYovGzGV.json
[LOG] ⏩ Fichier déjà traduit: Ship_s_Passage_MskzyOBVKp06aa3h.json
[LOG] ⏩ Fichier déjà traduit: Specialty_vFlK7Ul14L00zzmc.json
[LOG] ⏩ Fichier déjà traduit: Wanderer_RDCARuFjnjBFYFhM.json
[LOG] ⏩ Fichier déjà traduit: Artisan_de_guilde_HQ55nR2m8cVIGVax.json
[LOG] ⏩ Fichier déjà traduit: Artiste_rwXb7RlNYhsroynb.json
[LOG] ⏩ Fichier déjà traduit: Capacit__k5L92TQHkJ2L16fJ.json
[LOG] ⏩ Fichier déjà traduit: Charlatan_T0V4oviv4pdpjsql.json
[LOG] ⏩ Fichier déjà traduit: Entertainer_ddkZyVDSuVRWUg41.json
[LOG] ⏩ Fichier déjà traduit: Fausse_Identit__LHhLGQqVk0d3Rd54.json
[LOG] ⏩ Fichier déjà traduit: Folk_Hero_Jv0VaAV94t4AoBfM.json
[LOG] ⏩ Fichier déjà traduit: Lettre_d_amour_TzRDPXp50qoX1R1j.json
[LOG] ⏩ Fichier déjà traduit: M_che_de_cheveux_iyWuZtYZX9XmJ0yP.json
[LOG] ⏩ Fichier déjà traduit: Membre_de_guilde_y6XhCDzLfEJ9GorO.json
[LOG] ⏩ Fichier déjà traduit: Noble_W9WjSUs21mKp7Iuq.json
[LOG] ⏩ Fichier déjà traduit: Objets_zorzuJvHq9F1iMKt.json
[LOG] ⏩ Fichier déjà traduit: Outlander_Xk9LAEaWJQNvWX3r.json
[LOG] ⏩ Fichier déjà traduit: Sage_vUwCliqcnhBctYz7.json
[LOG] ⏩ Fichier déjà traduit: Sailor_Byp5IXqQuwJZOqFf.json
[LOG] ⏩ Fichier déjà traduit: Urban_Bounty_Hunter_0e02OIabaZaXpA0s.json
[LOG] ⏩ Fichier déjà traduit: __la_demande_du_public_Fcglj47i3MtZSuzc.json
[LOG] ⏩ Fichier déjà traduit: Ability_Score_Improvement__Fighter__mEWCqs9aMd9BfC15.json
[LOG] ⏩ Fichier déjà traduit: Ability_Score_Improvement__Rogue__VeAkYgIOe0wKaUiB.json
[LOG] ⏩ Fichier déjà traduit: Ability_Score_Improvement_bAyhm1qJWAMu2kl1.json
[LOG] ⏩ Fichier déjà traduit: Abjuration_Savant_pUyTiK29snJxjynd.json
[LOG] ⏩ Fichier déjà traduit: Accursed_Specter_LOwv1s3tu2a6vR2C.json
[LOG] ⏩ Fichier déjà traduit: Acolyte_of_Nature_QGj2d3omCusw5bpv.json
[LOG] ⏩ Fichier déjà traduit: Action_Surge_vToykzwoXcQ8OYWQ.json
[LOG] ⏩ Fichier déjà traduit: Adaptive_Hunter_lH2tRTfO5Z1asmOw.json
[LOG] ⏩ Fichier déjà traduit: Additional_Fighting_Style_DFz3gEShPkZYA7tl.json
[LOG] ⏩ Fichier déjà traduit: Additional_Magical_Secrets_Lip9NspcXYYGPuUj.json
[LOG] ⏩ Fichier déjà traduit: Adjust_Density_j6BL5bYBoj16FdFE.json
[LOG] ⏩ Fichier déjà traduit: Alchemical_Savant_5ab4mQxcwsGYosOy.json
[LOG] ⏩ Fichier déjà traduit: Alchemist_Spells_5X8FJsyMhObj7Ewd.json
[LOG] ⏩ Fichier déjà traduit: Alter_Memories_r6O8YwRx5FUS9W7y.json
[LOG] ⏩ Fichier déjà traduit: Ambush_Master_dy2RYtu8UaWlqxGJ.json
[LOG] ⏩ Fichier déjà traduit: Among_the_Dead_yynvbkBKalud9Moh.json
[LOG] ⏩ Fichier déjà traduit: Ancestral_Protectors_tgnfGdaA0ZS1HjV7.json
[LOG] ⏩ Fichier déjà traduit: Angelic_Form_ewtTi9hIkfzgeUFS.json
[LOG] ⏩ Fichier déjà traduit: Animal_Companion_hWygu85vBW9MqyHm.json
[LOG] ⏩ Fichier déjà traduit: Animating_Performance_L2NrgySJTyeobiVw.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Abeyance_wGIQK1Qt3kJL4it3.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Archer_Lore_1vcEjkqvsDDaFEI4.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Armor_cjajYC1CWTxeyOta.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Charge_2tqBnd8Nu9x0mfjU.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Deflection_NXcb7ZpGnqNPoB53.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Firearm_v0CdodtHX9AUJdHp.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Initiate_Vgu25hTLe1AXfA60.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Jolt_8rNajBhqFI9BxZkz.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Mastery_PzuKi8OV07lvRngR.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Recovery_F8leKDyrAUoErtwN.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Banishing_Arrow_79FpYpWJ16JltrTS.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Beguiling_Arrow_9XgXb1lZH3ZeEyqS.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Bursting_Arrow_aTka8e1NfC8JK07i.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Enfeebling_Arrow_hWSNv6GbW67yGXI2.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Grasping_Arrow_H6JzXiVOgjVkSJ34.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Piercing_Arrow_A9mEp40B170X6pPu.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Seeking_Arrow_sRNEM6SAbR60OsI9.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot__Shadow_Arrow_bOXIK38AbvSmSQ2w.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Shot_kr1hu1dniUOl96yO.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Tradition_CqhFOojEcLwo8jok.json
[LOG] ⏩ Fichier déjà traduit: Arcane_Ward_083mMRrWB40COHJt.json
[LOG] ⏩ Fichier déjà traduit: Archdruid_nqHQ0htthbNA1QOY.json
[LOG] ⏩ Fichier déjà traduit: Armor_Model_KC6QEgu7Q6AFKlvg.json
[LOG] ⏩ Fichier déjà traduit: Armor_Modifications_UTE4ijp1bbDwQWyU.json
[LOG] ⏩ Fichier déjà traduit: Armor_of_Hexes_j2rzVMZv6TRmqrKR.json
[LOG] ⏩ Fichier déjà traduit: Armorer_Spells_3ddQxI7xIAu5DWCj.json
[LOG] ⏩ Fichier déjà traduit: Arms_of_the_Astral_Self__Deft_Fists_1uC8PK6PLAJZh745.json
[LOG] ⏩ Fichier déjà traduit: Arms_of_the_Astral_Self__Strike_l2ZruMGzvSZjXD1a.json
[LOG] ⏩ Fichier déjà traduit: Arms_of_the_Astral_Self_fAibWIlBW7I5kFuf.json
[LOG] ⏩ Fichier déjà traduit: Artificer_Infusions_rcQAtHZtJRcQjhrO.json
[LOG] ⏩ Fichier déjà traduit: Artificer_Specialist_VtWTsSI8iW057IAP.json
[LOG] ⏩ Fichier déjà traduit: Artillerist_Spells_yDNERjGQ3NywEkcN.json
[LOG] ⏩ Fichier déjà traduit: Ascendant_Aspect_Id0ygVLien3MHhmC.json
[LOG] ⏩ Fichier déjà traduit: Ascension_chTap06eHLmS0x1p.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast_4wDfIaa0MXjEHdBj.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast__Bear_JOahT2ZNDcjKxrnc.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast__Eagle_Ejoix70vssjzmXr5.json
[LOG] ⏩ Fichier déjà traduit: Aspect_of_the_Beast__Elk_8PGA4nAoOl2xROLU.json
